Code,IsManualCollection,LocationName
1,True,"ул. Амангельды, угол ул. Сатпаева"
12,True,"пр. Райымбека, угол ул. Наурызбай батыра"
16,True,м-н Айнабулак-3
25,True,"м-н Аксай-3, ул. Маречека, угол ул. Б.Момышулы"
26,True,"м-н Тастак-1, ул. Толе би, 249, ГУ «городская детская поликлиника №8»"
1,False,"Бостандыкский район, терр. Казахского национального университета им.Аль-Фараби"
2,False,"Илийский район, Бурундайское автохозяйство, улица Аэродромная"
3,False,"Алатауский район, ледовая арена «Алматы арена» по улице Момышулы"
4,False,"Турксибский район, район 70 разъезда, общеобразовательная школа №32"
5,False,"Медеуский район, ледовая арена «Халык арена», микрорайон «Думан»"
6,False,"Жетысуский район, терр. Жетысуского акимата, микрорайон «Кулагер»"
27,False,"метеостанция Медео, ул. Горная, 548"
28,False,"аэрологическая станция (район Аэропорта) ул. Ахметова, 50"
29,False,"РУВД Турскибского района, ул. Р. Зорге,14"
30,False,"м-н «Шанырак», школа №26, ул. Жанкожа батыра, 202"
31,False,"пр.Аль-Фараби, угол ул.Навои, мн Орбита (территория Дендропарка АО «Зеленстрой»)"
